name of company,year included,sector,short description of company,money raised at time of publication,money raised current,revenue at time of publication,valuation at time of publication,most recent valuation month year,notes
Beehiiv,2023,Consumer & Creator,Newsletter publishing website,$16.7 million,$49.7M,"$7.5 million annual revenue run rate, as of September 2023",$65 million,$225M (April 2024),
Beli,2024,Creator & Consumer,Food social network,$6 million,$6M,NA,$25 million,$25M,
BeReal,2022,Consumer & Creator,Photo-sharing social media app,$170.92 million,$89.69M (Oct 2022),NA,$600 million,$585.88M (Oct 2022),Acquired by Voodoo in June 2024 for ~$536M.
BforeAI,2024,SaaS & Security,AI cybsersecurity company,$18.5 million,$18.5M,>$3M annual recurring revenue,$55 million,$55M,
Blackbird Labs,2023,Fintech & Crypto,Blockchain-based loyalty rewards,>$35 million,$35M,Nominal,>$35 million,N/A,
Blumen Systems,2024,Energy,Industrial permitting in a box,$6.4 million,$6.4M,$0,$20 million post money,$20M post money,
Braintrust,2024,AI Applications,AI developer platform,$45 million,$45M,~$1M annual recurring revenue,$150 million,$150M,
Brat,2021,Media,Digital video production studio,$55.5 million,$55.5M (Sept 2021),>$30 million on pace to generate in 2021,>$200 million,$200M (September 2021),
Browserbase,2024,AI Applications,AI internet browser,$27.5 million,$27.5M,~$1M in annualized revenue,$80 million,$80M,
Bunch,2020,Media,Group video chat app for games,$28 million,$32.35 million (Jan 2024),NA,$65 million,$65M (August 2020),
CalypsoAI,2023,SaaS & Security,AI security platform,$38 million,$38.2M,>$1 million,$64 million,$64M,
Cameo,2020,Consumer & Creator,Personalized celebrity video messages,$65 million,$203.68M (March 2024),>$25 million projected for 2020,$300 million,<$100M (May 2024),
Captions AI,2023,Consumer & Creator,Subtitle generator and media editor,$40 million,$100M (July 2024),<$50 million in 2023,$250 million,$500M (July 2024),
Catch,2023,Commerce,E-commerce payments software,$80 million,$80.9M (April 2022),NA,~$400 million,$410.3M (April 2022),
Checkmate,2023,Consumer & Creator,Discount finding software,$20 million,$20M,$250 million for 2023,$65 million (PitchBook),$65M,
Chia Network,2021,Crypto,Blockchain and digital currency platform,$77 million,$112 million,NA,$465 million,$455M (March 2022),
Chipper Cash,2020,Fintech,Payments platform,$50 million,$300.6M (April 2023),$30 million on pace to generate annually,>$100 million,$2.22B (Nov 2021),
Chord Commerce,2021,Commerce,Headless commerce and data platform,$18.25 million,$69.25M (June 2023),>$1 million annual recurring revenue,~$100 million,~$100M (Oct 2022),
Chronosphere,2020,B2B & Cybersecurity,Data observability platform,$11 million,$348M,>$2 million annual recurring,$39.1 million,$1.64B (Dec 2023),
Citizen,2020,Consumer & Creator,Personal safety app,$59 million,$112M (Feb 2023),NA,$156.21 million,$448M (January 2021),
Clay,2024,AI Applications,AI sales software,$62 million,$62M,$20M to $50M in annualized revenue,$500 million,$500M,
Clerk,2023,SaaS & Security,Identity authentication software,$54 million,$54.4M,NA,$159 million,N/A,
Cobot,2024,Devices & Robots,"Robot maker for logistics, manufacturing and hospitals",$146 million,$146M,$1M-$10M for 2024,~$500 million,~$500M,
Congo Brands,2023,Consumer & Creator,Energy drink brand,NA,N/A,>$110 million in 2022,,N/A,
Cranium,2023,SaaS & Security,AI compliance and security software,$12 million,$23M (Oct 2023),>$1 million annual recurring revenue,$186 million,$100M (Oct 2023),
Cribl,2020,B2B & Cybersecurity,Data observability platform,$46 million,$725M (August 2024),~$7 million on pace to generate annually,$250 million,$3.5B (August 2024),
Croissant,2024,Commerce,Resale pricing tool,$24 million,$24M,~$1M,$84 million,$84M,
Cursor,2024,AI Applications,AI coding assistant,$71 million,$71M,> $20M in annualized revenue,$400 million,$400M,
Cyberhaven,2023,SaaS & Security,Protecting company files,$48 million,$48M,>$10 million annual recurring revenue,$153 million,$153M,
Cyclone Robotics,2021,Asia,Robotic process automation software,$50 million,$200M,>$25 million on pace to generate in 2021,$153 million,NA,
Dat Bike,2023,Asia,Electric motorcycle maker in Vietnam,$18 million,$15.9M (Nov 2022),$2.6 million forecasted in 2023,$68 million post-money,N/A,
Datarails,2022,B2B & Cybersecurity,Financial planning and analysis software,$101.66 million,$101.66M (June 2023),$20 million annual recurring projected in 2022,$500 million,N/A,
DoNotPay,2021,Consumer & Creator,Legal services chatbot,$28.04 million,$28.04M (July 2021),>$5 million annualized revenue,$210 million,$210M (July 2021),
Drop Party,2021,Commerce,Marketing management platform,$0.5 million,$0.5 million,>$1 million annualized revenue,$10 million,NA,Acquired by Flexa
Duckbill,2020,Asia,Trucking transportation services,$45 million,$135M,$120 million projected for 2020,$200 million,NA,
dYdX Trading,2022,Crypto,Decentralized cryptocurrency exchange platform,$86.96 million,$86.96M (June 2021),$100 million on pace to generate in 2022,$215 million,$215M (June 2021),
EigenLabs,2023,Fintech & Crypto,Blockchain staking tools,$65 million,$164.48M (Feb 2024),None,$250 million,$1.05B (Feb 2024),
Electric Era Technologies,2023,Energy,Accessible charging stations developer,$21.5 million,$20.5M,NA,$48 million,$47M (July 2023),
Elementus,2022,Crypto,Blockchain search engine,$25.95 million,$27M,>$5 million on pace to generate in 2022,$160 million,$159.72M (Jun 2022),
ElevenLabs,2023,Data & AI,AI text to speech,$22 million,$100.4M,>$1 million annual recurring revenue,$100 million,$1B,
Enfabrica,2024,Computing,AI chipmaker,$148 million,$148M,NA,$285 million,$285M,
EngFlow,2022,B2B & Cybersecurity,Build acceleration for software development,$3.73 million,$21.65M (Nov 2022),>$5 million annualized,>$100 million,N/A,
ErudiFi,2022,Asia,Education financing platform,$5 million,$21.62M (Feb 2024),$3.5 million on track to generate in 2022,$16 million,N/A,
Feedzai,2020,Data & AI,Financial risk management platform,$82 million,$282M,>$120 million on pace to generate annually in revenue,$575 million,$1.5B (October 2021),
Fermat,2024,Commerce,E-commerce page personalization tool,~$30 million,~$30M,$5M-$15M,"$50 million pre-money Series A, accoridng to Pitchbook data","$50M pre-money Series A, according to Pitchbook data",
FitXR,2021,Consumer & Creator,Virtual reality fitness app,$8.93 million,$19.55M (May 2022),$5 million on pace to generate in 2021,>$20 million,$98.19M (May 2022),
Fizz,2023,Consumer & Creator,College social media,$41.5 million,$42.3M (July 2023),NA,,N/A,
Float,2022,Fintech,Cash management platform,NA,$84.38M (Feb 2024),$20 million annualized projected in 2022,$150 million,N/A,
Fly.io,2022,B2B & Cybersecurity,Global application distribution platform,$40.64 million,110.64M (June 2023),>$3 million annualized,$500 million,$450M (Jun 2023),
Focal Systems,2021,Data & AI,Retail automation platform,$11.12 million,$47M,$10 million annualized revenue (run rate),$111 million,$111M (December 2021),
Foundry,2024,Computing,Nvidia GPU renting platform,$80 million,$80M,>$10M,$375 million,$375M,
Galbot,2024,Asia,Humanoid robot maker,$98.7 million,$98.7M,No revenue yet,$275 million,$275M,
GDI,2023,Energy,Developer of silicon anodes,$19.5 million,$30M,"$1.5 million, 12 months ending September 2023",$54 million,$54M (June 2022),
Geneva,2022,Consumer & Creator,Messaging app for groups,$42.03 million,$15.51M (Sept 2022),NA,$80 million,$85.51M (Sept 2022),Acquired by Bumble in July 2024.
Grafana Labs,2020,B2B & Cybersecurity,Open-source software platform,$73.2 million,$658M (August 2024),>$25 million on pace to generate annually,$325 million,$6B (August 2024),
Great Expectations,2022,Data & AI,Open-source data quality software,$65 million,$65M (Feb 2022),Nominal,$365 million,$365M (Feb 2022),
Hadrian,2023,Defense,Autonomous factories,$102 million,$219.2M,NA,$275 million,N/A,
Hai Robotics,2020,Asia,Warehouse automation software,$40 million,$184M,$12 million projected for 2020,$150 million,$2.08B (June 2022),
Halcyon,2023,SaaS & Security,Ransomware monitor,$50 million,$108.7M,>$10 million annual recurring revenue,$175 million,$236M,
Hand Hitech,2021,Asia,Logistics vehicle weighing technology,$14.34 million,$14.34M,$15.5 million on pace to generate in 2021,$80 million,NA,
Hangzhou CoEvolution Technology,2022,Asia,Automated logistics solutions,$15.63 million,$15.63 million,$6.9 million on track to generate in 2022,~$100 million,NA,
Haochezhu,2020,Asia,Mutual aid platform for drivers,$47.4 million,NA,$4.6 million projected for 2020,$199 million,NA,
Headway,2021,Consumer & Creator,Mental healthcare app,$107.29 million,$330M (July 2024),>$80 million on pace to generate in 2021,$770 million,$2.3B (July 2024),
Hex,2022,Data & AI,Cloud-based data analytics software,$73.5 million,$90M,$4 million annualized,$352 million,$428M,
Hipcamp,2020,Consumer & Creator,Camping and outdoor recreation experiences,$40 million,$99M (Jan 2023),NA,$127 million,$377M (Jan 2021),
Honeylove,2023,Commerce,Shapewear and clothing brand,~$20 million,$16.12M (June 2019),$175 million,,N/A,
Hugging Face,2021,Data & AI,Open-source machine learning technology platform provider,$64.91 million,$394.71M (Aug 2023),>$5 million 2021 net revenue,$440 million,$4.5B (Aug 2023),
Hypersonix,2021,Data & AI,Autonomous analytics platform for e-commerce,$50.1 million,$50.1M,$6 million,$200 million,$190M (September 2021),
iMile,2023,Asia,UAE-based e-commerce delivery,$40 million,$50M (Jan 2024),>$200 million in 2022,$350 million as of the series A round closed in 2022,$350M (Nov 2021),
Imply,2020,B2B & Cybersecurity,Multi-cloud database platform,$45.3 million,$215.3M (Apr 2022),~$20 million annual recurring,$350 million,$1.11B (Apr 2022),
Impulse Labs,2024,Devices & Robots,Electric stove maker,$25 million,$25M,NA sales of the stove began on October 9,~$60 million,~$60M,
Invisible Universe,2022,Consumer & Creator,Social media animation studio,$20 million,$20M (Aug 2022),>$1 million in 2022,$72 million,$72M (Aug 2022),
Iron Fish,2022,Crypto,Decentralized blockchain network,$33 million,$32.08M (May 2023),NA,$152 million,$151.6M (Nov 2021),
Ironclad,2020,B2B & Cybersecurity,Contract lifecycle management platform,$84 million,$332.48M (Jan 2022),$20-$25 million projected for 2020,$398.5 million,$3.2B (Jan 2022),
Italic,2021,Consumer & Creator,Online marketplace for affordable luxury goods,$39.89 million,$39.89M (April 2021),>$6 million on pace to generate in 2021,$200 million,$176.91M (April 2021),
Jeeves,2021,Fintech,Expense management platform,$188.15 million,$368.15M (July 2023),~$10 million on pace to generate in 2021,$500 million,$2.31B (February 2022),
Kanastra,2024,Fintech & Crypto,Brazilian fintech support firm,$34.1 million,$34.1M,~$10M annual recurring revenue,~$63 million,~$63M,
Kong,2020,B2B & Cybersecurity,Cloud connectivity platform,$71.1 million,$170.5M,>$25 million on pace to generate annually,$478 million,$1.4B(Nov 2020),
Leya,2024,AI Applications,AI legal automation tool,$36 million,$36M,>$1M in annualized revenue,$150 million,$150M,
Li.Fi,2023,Fintech & Crypto,Moving assets between blockchains,$23 million,$23M,NA,$100 million,$100M,
LinkMore,2022,Asia,Clothing supply chain software,NA,$45.43M (Jan 2022),$5.6 million projected for 2022,$132 million,$184.17M (Jan 2022),
Locker,2024,Commerce,Wishlist software for shopping,$3.5 million,$3.5M,$1.2M annual recurring revenue as of mid-September,$9 million,$9M,
Locket Labs,2022,Consumer & Creator,Photo-sharing social media widget,$12.5 million,$12.5M (May 2022),NA,$100 million,N/A,
Lula,2023,Fintech & Crypto,Insurance software for transportation businesses,$45 million,$48M,$100 million projected annual recurring revenue by the end of 2024,$500 million,$290M (April 2023),
Lunchclub,2021,Consumer & Creator,AI-based networking app,$31.68 million,$31.68M (Dec 2022),NA,$105 million,$107.2M(August 2020),
Lynksoul,2024,Asia,AI companion tool for video games,$25 million,$25M,"$141,131",$98 million,$98M,
Mach Industries,2023,Defense,Hydrogen-based unmanned aerial weaponmaker,$85 million,$85M,NA,$335 million,$335M,
Mako,2024,Computing,AI chip software,$1.5 million,$1.5M,"<$20,000",Unknown,Unknown,
MatX,2024,Computing,Transformer model chip designer,$25 million,$25M,~$60M Projected for 2025,$85 million,$85M,
Mech-Mind,2020,Asia,Industrial robotics software,$38 million,$245M,$10 million projected for 2020,$150 million,$858M (September 2022),
MegaRobo,2020,Asia,Robotic automation solutions,~$50 million,$437M,$15.2 million projected for 2020,>$200 million,$1B (June 2022),
Melio Payments,2020,Fintech,Vendor payments tool,$144 million,$517.46M (Sept 2021),~$10 million on pace to generate annually,$700 million,$4B (Sept 2021),
Metronome,2024,SaaS & Security,Software billing tool,$80 million,$80M,$15M in annualized revenue as of June,$350 million,$350M,
Middesk,2022,Fintech,Business identity platform,$77.15 million,$70M,$10 million annualized as of July 2022,$750 million,$760M (April 2022),
Midjourney,2023,Data & AI,AI text to video,NA,No Equity Funding,"$200 million, on pace to generate annually in 2023",,NA,
MikMak,2021,Commerce,E-commerce marketing analytics and enablement software,$19 million,$19M,$20 million on pace to generate in 2021,~$50 million,$100M,
Mirror,2021,Media,Newsletter publishing platform,NA,NA,NA,$100 million,$100 million (June 2021),
Modal Labs,2023,Data & AI,Cloud-based code infrastructure,$22 million,$25M (Oct 2023),>$3 million annual run rate as of August 2023,$150 million,$156 M (Oct 2023),
Modern Intelligence,2023,Defense,AI sensor and vision technology,$5 million,$12M,$2 million,$20 million,$20M,
Mojito,2021,Crypto,NFT software platform,$20 million,$20M (October 2021),>$2 million projected in 2021,$100 million,$100M (October 2021),
Moveworks,2020,Data & AI,Conversational AI platform,$105 million,$308M (June 2021),>$16 million on pace to generate annually,~$390 million,$2.1B (June 2021),
Mytra,2024,Devices & Robots,Warehouse robot maker,$78 million,$78M,<$1M,~$200 million,~$200M,
Nansen,2022,Crypto,Blockchain analytics platform,$88.2 million,$89.3M (Dec 2021),>$14 million annual recurring as of December 2021,$750 million,$749.9M (Dec 2021),
NeoX Biotech,2021,Asia,AI-driven pharmaceutical research and development,$100 million,$100M,NA,>$300 million,NA,
Newfront Insurance,2020,Fintech,Tech-based insurance brokerage,$108 million,$312.12M (April 2022),NA,$500 million,$2.2B (Apr 2022),
Nexeon,2023,Energy,Silicon anode developer,$261 million,$261M,$5.2 million,$352 million,$352M,
Nirvana Insurance,2022,Fintech,Commercial fleet insurance and risk management,$25 million,$82.17M (Oct 2023),$10 million annualized,$200 million,$387M (Oct 2023),
Nova Credit,2020,Fintech,Consumer & Creator credits bureau,$70 million,$112.84M (Feb 2024),NA,NA,N/A,
ObserveAI,2020,Data & AI,Voice-AI platform for call centers,$88 million,$213M (April 2022),$15 million on pace to generate annually,~$300 million,$825M (April 2022),
OctoAI,2021,Data & AI,Machine learning development platform,$132.6 million,132.6M (Sept 2021),"$3 million in 2021, as of November 2021",~$900 million,$850M (September 2021),
Onehouse,2022,Data & AI,Cloud-based data lakehouse,>$20 million,$68M (June 2024),Nominal,~$100 million,N/A,
Onerway,2023,Asia,International payments services,$16.5 million,$14.36M,$65 million forecasted in 2023,$200 million post-money,$200M (December 2023),
Oomnitza,2024,SaaS & Security,Employee device management company,$35 million,$35M,$18M annual recurring revenue,NA,NA,
Opal,2024,Creator & Consumer,High end webcam maker,$17 million,$17M,<$20M,$67 million post money*,$67M post money*,
Opus Clip,2024,Creator & Consumer,AI video splicing company,$30 million,$30M,<$20M,$100 million post investment,$100M post investment,
Overtime,2020,Media,Sports network for Gen Z fans,$35 million,$250M,$15 million projected for 2020,$150-$200 million,$600M (Aug 2022),
PaintJet,2024,Devices & Robots,Robot maker for industrial painting,$17 million,$17M,>$5M,$55 million,$55M,
Parafin,2022,Fintech,End-to-end payment processing software,$94 million,$223M (Apr 2024),>$10 million annualized,$520 million,$520M (Aug 2022),
Peak Energy,2024,Energy,Sodium-ion batteries,$66 million,$66M,0 Pre-revenue,NA,NA,
Perplexity,2023,Data & AI,AI search engine,$28.8 million,$165M (January 2024),~$8 million annual recurring revenue,$913 million,$9B (Dec 2024),
Phosphorus Cybersecurity,2022,B2B & Cybersecurity,Cybersecurity software,$44.29 million,$71.28M (Dec 2023),>$4 million annual recurring projected in 2022,$120 million,$160M (Dec 2023),
Photo Butler,2022,Media,Collaborative real-time photo sharing app,NA,N/A,"$2 million annual, on pace to generate in 2022",$60 million,N/A,
Pickle,2024,Creator & Consumer,Peer-to-peer rental marketplace for clothes,$8.5 million,$8.5M,>$1M annual recurring revenue,$30 million,$30M,
PicsArt,2020,Consumer & Creator,Photo and video editing app,$65 million,197.2M,$100 million projected subscription revenue for 2021,$640 million,$1.23B (August 2021),
Pietra,2021,Media,E-commerce operating system,$20.5 million,$36.6M (March 2023),<$10 million on pace to generate in 2021,$75 million,$98.1M (March 2023),
Pika Labs,2023,Data & AI,AI video generator via Discord,$21 million,$135M (June 2024),NA,>$200 million post-money,$470M (June 2024),
Plus One Robotics,2020,Data & AI,Robot perception software,$10.65 million,$95M (March 2023),>$2 million on pace to generate annually,$32.8 million,$170M (March 2023),
Pocket.watch,2020,Media,Digital entertainment platform,$21 million,$21M (August 2018),$50 million projected for 2020,$60 million,$57.5M (August 2018),
Polymarket,2024,Fintech & Crypto,Prediction markets platform,$74 million,$74M,NA,$180 million-$270 million based Dealroom Data,$180M-$270M based on Dealroom data,
Pomelo,2022,Fintech,Credit and international money transfer,$60 million,$103M,$10 million annualized as of September 2022,$300 million,$300M (Dec 2023),
Positron AI,2024,Computing,Transformer model chipmaker,$12.5 million,$12.5M,~$1M,$75 million,$75M,
Postie,2022,Commerce,Direct mail marketing technology,$3.5 million,$3.5M (Apr 2022),~$100 million annual reccuring,$17 million,$10.25M July 2018),
Privacera,2021,B2B & Cybersecurity,Data security and governance platform,$67.34 million,$67.34M (Mar 2021),$15 million annualized revenue,$380 million,$380M (March 2021),
Productiv,2021,B2B & Cybersecurity,Software as a service management platform,$73 million,$73M (March 2021),>$500K in 2021,$325 million,$295M (March 2021),
Prothentic,2022,Asia,Process mining solution provider,$14.86 million,$14.86M (July 2022),$3.5 million projected for 2022,$110 million,N/A,
QuickNode,2021,Crypto,Blockchain development platform,$45.97 million,$105.97M (Jan 2023),>$10 million annualized revenue,>$203.5 million,$800M (January 2023),
Quintessent,2024,Computing,Laser company for chip data transmission,$18 million,$18M,NA,$36.6 million,$36.6M,
Radar,2023,Commerce,RFID e-commerce inventory tools,$15 million,$78M,~$12 million projected for the next 12 months ending October 2024,$175 million in convertible debt,$200M pre-money,
Rainforest Pay,2024,Fintech & Crypto,Payments provider for software companies,$31.75 million,$31.75M,$1M-$5M annual recurring revenue,~$100 million,~$100M,
Recurrent,2021,Media,Digital media company,$100 million,$400M,>$50 million on pace to generate in 2021,$200 million,NA,
Recurve,2024,Asia,Consumer brand data company,$4.5 million,$4.5M,$1.2M projected for 2024,$30 million,$30M,
Render Network,2022,Crypto,Blockchain-based distributed rendering service,$30 million,$45M (May 2024),NA,$234 million,$3.9B (May 2024),
Replicant,2020,Data & AI,Customer service automation software,$35 million,$118M,>$3 million on pace to generate annually in revenue,>$100 million,N/A,
Respond.io,2022,Asia,Business messaging platform,$8.8 million,$8.8M (Sept 2022),"$5 million annual recurring, on pace to generate in 2022",$50 million,N/A,
Rocket Money,2021,Consumer & Creator,Personal finance app,$84.7 million,$84.7 million,>$80 million annual recurring revenue,$530 million,$1.2 billion (December 2021),"Acquired by Rocket Cos., formerly True Bill"
Routable,2021,Fintech,B2B & Cybersecurity payments platform,$46.17 million,$96.17M (April 2022),>$1 million annualized revenue,>$200 million,$350M (April 2022),
Runway,2022,Data & AI,AI-powered video editing,$46 million,$236.5M (June 2023),Nominal,$200 million,$1.5B (June 2023),
Sardine,2022,Fintech,Fraud prevention and compliance software,$75.5 million,$75.5M (Sept 2022),>$10 million annualized,~$500 million,$500M (Sept 2022),
Saturn,2022,Consumer & Creator,Social calendar app,$44 million,$62M,NA,$225 million,$275M (Dec 2022),
Second Front,2023,Defense,Government security software,$44 million,$150M (September 2024),>$10 million in 2023,$80 million as of Oct. 2022,$750M (September 2024),
Seekout,2021,B2B & Cybersecurity,Talent acquisition and management platform,$73.6 million,$188.6M (Jan 2022),$20.5 million annualized revenue,>$250 million,$1.2B (January 2022),
Selfbook,2021,Fintech,Hotel payment software,$28 million,$43M (Dec 2022),Nominal,$125 million,$300M (December 2021),
SentiLink,2023,Fintech & Crypto,Identity verification to prevent fraud,$84 million,$85M,$25 million in 2022,$430 million,N/A,
Sevco,2022,B2B & Cybersecurity,Cybersecurity software,$22 million,$39M (Mar 2024),>$5 million annual recurring projected in 2022,$60 million,N/A,
Shanghai BangBang Robotics,2022,Asia,Healthcare device maker,$19.91 million,N/A,$16.7 million on pace to generate in 2022,$83.4 million,N/A,
ShipHero,2022,Commerce,Warehouse management software,$60.84 million,$60.84M (Nov 2022),$100 million on pace to generate in 2022,$225 million,$225M (June 2021),
Shipium,2022,Commerce,Shipping platform for retail and ecommerce,$37.8 million,$37.8M (Apr 2022),>$3 million on pace to generate in 2022,$127.5 million,$127.5M (April 2022),
ShopMy,2024,Commerce,Influencer e-commerce company,$26.5 million,$26.5M,~$20M,NA,NA,
Shukun Technology,2020,Asia,AI-imaging diagnosis platform,$91 million,$261M,$15 million projected for 2020,>$300 million,$1.45B (July 2021),
Sirius Technologies,2024,Asia,Thailand digital transformation company,$18 million,$18M,$8M projected for 2024,$46 million,$46M,
Smartrr,2022,Commerce,Subscription app for Shopify merchants,$7.3 million,$17.3M (Jan 2023),$1.5-$2 million on pace to generate in 2022,$73.5 million,$45M (Jan 2023),
Soft Robot Tech,2020,Asia,Industrial automation robot service provider,$10 million,$32.5M,$13 million projected for 2020,$50 million,NA,
South 8 Technologies,2024,Energy,Lithium gas electrolyte,$21 million,$21M,0 Pre-revenue,$43 million post money,$43M post money,
Stake,2024,Fintech & Crypto,Digital platform for real estate investment,$27 million,$27M,$11M,$100 million-$200 million,$100M-$200M,
Stan,2023,Consumer & Creator,Virtual storefront,$5 million,$5M,$7.5 million annual recurring revenue as of September 2023,$25 million,$25M,
Starburst,2020,B2B & Cybersecurity,Data access and analytics engine,$64 million,$431.12M (Feb 2022),$12 million on pace to generate annually,$351.3 million,$3.35B (Feb 2022),
StarTree,2022,Data & AI,Open-source database software,$75.2 million,$75.2M (Mar 2024),>$4 million projected in 2022,~$350 million,N/A,
Statsig,2023,Data & AI,Software testing program,$53 million,$53.4 M (April 2022),>$10 million as of October 2023,$420 million,$420M (April 2022),
Stedi,2020,Fintech,B2B & Cybersecurity transaction recording software,$71 million,N/A,NA,>$200 million,N/A,
Stellar Cyber,2022,B2B & Cybersecurity,Security operations platform,$69.06 million,$102.8M (Aug 2023),>$20 million annual recurring on track to generate in 2022,$212 million,$290M (Aug 2023),
Stir,2021,Media,Open-source tomographic imaging software,$20.69 million,$20.69M,<$5 million projected to generate in 2021,$100 million,$72M (February 2021),
Streamlit,2021,Data & AI,Open-source app framework,$62 million,$62 million,Nominal,>$200 million,$650.75M (March 2022),Acquired by Snowflake
Substack,2020,Media,Newsletter publishing platform,$17.5 million,$95.3M (May 2023),>$1 million on pace to generate annually,$60 million,$650M (September 2021),
Sudo Technology,2023,Asia,Government data privacy tool,$68 million,N/A,$34.5 million forecasted in 2023,$274 million post-money,N/A,
Suno,2024,AI Applications,AI song generator,$130 million,$130M,>$40M in annualized revenue,>$500 million,>$500M,
Superhuman,2020,Consumer & Creator,Speedy email app,$51 million,$138.7M (Mar 2023),NA,$260 million,$825M (August 2021),
Superplastic,2021,Media,Character-based product and entertainment platform,$38 million,$80M (Feb 2023),>$50 million projected for 2021,$150 million,$180M (Feb 2023),
Superstate,2024,Fintech & Crypto,Asset management firm facilitating,$18.3 million,$18.3M,$0.4M Projected 2024 revenue,$110 million post money,$110M post money,
Syrius,2020,Asia,Autonomous warehouse robots developer,$15 million,$39M,$10 million projected for 2020,$40 million,NA,
Tabular,2022,Data & AI,Cloud-based data warehouse,$11.2 million,$37M (Sept 2023),Nominal,$61 million,$156M (Sept 2023),Acquired by Databricks in June 2024 for reportedly nearly $2B.
Taichi Graphics,2021,Asia,Open-source software compiler,NA,$50M,NA,>$275 million,NA,
Talon Cyber Security,2022,B2B & Cybersecurity,Provides secure browsers for enterprises,$126 million,$143M (Dec 2023),<$1 million annualized,$400 million,$458.6M (Dec 2023),
Taxdoo,2021,Commerce,Tax compliance software,$20.37 million,$84.37M (Dec 2021),$10 million annual recurring revenue,~$100 million,$350M (December 2021),
TDengine,2022,Asia,Open-source time series database,$67 million,$67M (May 2021),$6 million on track to generate in 2022,$300 million,N/A,
Tecton,2020,Data & AI,Machine learning feature platform,$25 million,N/A,>$1 million on pace to generate annually,$240 million,N/A,
Teleport,2021,B2B & Cybersecurity,Cloud infrastructure access management,$62.37 million,$169M (May 2022),NA,>$250 million,$1.1B (April 2022),
Temporal,2021,B2B & Cybersecurity,Microservice orchestration platform,$25.5 million,$203.5M (Feb 2023),~$1 million as of November 2021,>$50 million,$1.5B (February 2022),
Tennr,2024,SaaS & Security,Medical paperwork automation,$61 million,$61M,$5M-$10M 2024 contracted revenue,~$225 million,~$225M,
Tezign,2020,Asia,Online freelance designer marketplace,>$50 million,$21.87M (Nov 2021),$30 million projected for 2020,>$500 million,$100M (Nov 2021),
Tezza,2024,Creator & Consumer,Photo and video editing app,$0,$0,$37M annual recurring revenue,NA,NA,
